mission_id,solve,t_rel_s,n_animals_perceived,v_commanded_left_flank,v_commanded_dorsal,v_commanded_right_flank
F1,41,458.58,4,0.75,1.0,1.0
F1,42,464.42,4,0.75,1.0,1.0
F1,43,470.33,4,1.0,1.0,0.75
F1,44,476.41,4,0.5,1.0,1.0
F1,45,482.64,4,0.75,1.0,0.75
F1,46,488.94,4,0.6406,1.0,0.75
F1,47,494.84,4,0.8906,1.0,1.0
F1,48,501.0,4,0.75,1.0,1.0
F1,49,507.19,4,0.5,1.0,0.75
F1,50,514.01,4,1.0,1.0,0.75
F1,51,520.85,4,1.0,1.0,1.0
F1,52,527.5,4,1.0,1.0,0.9531
F4,0,100.85,3,0.6667,1.0,1.0
F4,1,109.53,3,0.6667,1.0,1.0
F4,2,117.79,5,0.8,1.0,1.0
F4,3,125.79,5,1.0,1.0,0.525
F4,4,134.33,5,1.0,1.0,0.8
F4,5,144.38,4,1.0,1.0,0.75
F4,6,154.43,4,0.9844,1.0,0.75
F4,7,164.5,4,1.0,1.0,1.0
F4,8,174.76,5,1.0,1.0,1.0
F4,9,185.42,5,0.8,1.0,1.0
F4,10,195.91,5,0.9875,1.0,1.0
F4,11,205.82,5,1.0,1.0,1.0
F4,12,217.0,5,1.0,1.0,1.0
F4,13,227.01,5,1.0,1.0,0.6
F4,14,237.92,5,1.0,1.0,0.8
F4,15,247.57,5,1.0,1.0,1.0
F4,16,257.81,5,1.0,1.0,1.0
F4,17,267.18,3,0.6667,1.0,0.8333
F4,18,277.67,5,0.8,1.0,0.8375
F4,19,288.78,5,0.8,1.0,0.8375
F4,20,297.89,5,1.0,1.0,0.8875
F4,21,307.94,6,0.6667,1.0,0.7604
F4,22,318.73,5,0.8,1.0,0.9
F4,23,328.33,5,0.8,1.0,0.8875
F4,24,337.13,5,0.8,1.0,0.8125
F4,25,347.21,5,0.8,1.0,0.825
F4,26,355.85,5,1.0,1.0,0.925
F4,27,364.92,5,1.0,1.0,0.85
F4,28,374.49,4,1.0,1.0,0.75
F4,29,385.07,5,0.9125,1.0,1.0
F4,30,395.99,5,0.925,1.0,1.0
F4,31,407.02,5,0.95,1.0,0.95
F4,32,417.62,5,1.0,1.0,0.8
F4,33,427.72,6,1.0,1.0,0.7917
F4,34,437.73,5,0.875,1.0,0.975
F4,35,447.95,5,1.0,1.0,0.8625
F4,36,457.06,5,1.0,1.0,0.8
F4,37,466.61,5,0.95,1.0,0.9125
F4,38,476.9,5,1.0,1.0,1.0
F4,39,488.35,5,0.875,1.0,1.0
F4,40,498.97,5,1.0,1.0,0.8
F4,41,509.39,5,1.0,1.0,0.8
F4,42,519.14,5,1.0,1.0,1.0
F4,43,528.24,5,1.0,1.0,0.8
F4,44,536.62,4,0.75,1.0,0.7656
F4,45,547.13,4,0.75,1.0,1.0
F4,46,556.87,3,1.0,1.0,0.6667
F4,47,566.46,5,0.625,1.0,0.8625
F4,48,575.35,4,0.2969,1.0,0.7969
F4,49,584.15,5,0.6,1.0,0.8625
F4,50,593.72,4,0.5625,1.0,0.7812
F4,51,604.62,5,0.9,1.0,0.8125
F4,52,615.2,5,0.6,1.0,0.9375
F4,53,625.52,4,1.0,1.0,0.8281
F4,54,636.14,5,0.8,1.0,0.9125
F4,55,647.36,5,1.0,1.0,0.8
F3,8,154.53,2,1.0,1.0,1.0
F3,11,179.88,4,0.3906,1.0,0.9219
F3,12,189.03,3,0.7292,1.0,0.6667
F3,13,198.25,3,0.3333,1.0,0.75
F3,14,208.22,3,0.6667,1.0,0.8333
F3,15,340.95,12,0.5417,1.0,0.9323
F3,16,356.82,15,0.9583,1.0,0.9333
F3,17,367.77,8,1.0,1.0,0.75
F3,18,379.56,9,0.8819,1.0,0.6667
F3,19,393.33,12,0.9688,1.0,0.75
F3,20,406.31,13,0.9567,1.0,0.7692
F3,21,419.0,13,1.0,1.0,1.0
F3,22,431.08,12,0.9948,1.0,0.9583
F3,23,445.22,14,0.8571,1.0,0.9062
F3,24,459.61,14,1.0,1.0,0.9107
F3,25,473.11,14,0.8973,1.0,0.8705
F3,26,487.95,15,1.0,1.0,0.8292
F3,27,501.6,14,0.9688,1.0,0.8259
F3,28,515.81,14,0.9598,1.0,0.9107
F3,29,530.38,14,0.9241,1.0,0.8661
F3,30,543.84,13,0.9808,1.0,0.9279
F3,31,554.41,9,0.9375,1.0,0.9653
F3,32,563.27,4,1.0,1.0,1.0
F3,33,572.53,5,0.75,1.0,0.975
F3,34,581.71,6,0.8333,1.0,0.9792
F3,35,589.47,3,1.0,1.0,1.0
F3,39,622.98,3,0.6667,1.0,1.0
F3,40,633.7,4,0.75,1.0,1.0
F3,41,645.18,4,0.75,1.0,1.0
F3,42,654.81,4,1.0,1.0,1.0
F3,43,663.84,4,1.0,1.0,1.0
F3,44,673.02,4,1.0,1.0,1.0
F3,45,682.97,6,1.0,1.0,1.0
F3,46,693.31,5,1.0,1.0,1.0
F3,47,704.0,5,1.0,1.0,1.0
F3,48,712.08,5,1.0,1.0,1.0
F3,49,717.9,2,1.0,1.0,1.0
F3,50,725.2,2,1.0,1.0,1.0
F3,51,732.36,2,1.0,1.0,1.0
F3,52,739.19,2,1.0,1.0,1.0
F3,53,747.39,2,1.0,1.0,1.0
F3,54,754.95,2,1.0,1.0,1.0
F2,0,97.2,9,1.0,1.0,0.9792
F2,1,116.7,10,0.8438,1.0,0.8625
F2,2,135.11,9,0.8681,1.0,0.7917
F2,3,155.74,12,0.9375,1.0,0.7188
F2,4,169.27,8,1.0,1.0,0.875
F2,5,187.95,15,0.8292,1.0,0.2
F2,6,207.46,12,0.599,1.0,0.3333
F2,7,227.22,9,0.5556,1.0,0.3194
F2,8,241.57,7,0.5625,1.0,0.8125
F2,9,259.92,15,0.7625,1.0,0.5333
F2,10,282.36,15,0.8,1.0,0.5333
F2,11,337.32,15,0.8,1.0,0.5333
F2,12,350.39,9,0.4028,1.0,0.9861
F2,13,367.23,9,0.4028,1.0,0.9861
F2,14,379.82,6,1.0,1.0,0.6667
F2,15,397.9,12,0.9375,1.0,0.9427
F2,16,418.91,17,0.8787,1.0,0.9412
F2,17,440.73,18,0.8681,1.0,0.7882
F2,18,456.78,16,0.875,1.0,0.8438
F2,19,475.87,16,0.8594,1.0,0.918
F2,20,498.57,16,0.875,1.0,0.8125
F2,21,515.99,15,0.825,1.0,0.7875
F2,22,532.8,16,0.8086,1.0,0.9102
