mission_id,gt_frame,t_rel_s,animal_idx,lat,lon,drone_idx,surface,visible_fraction,on_target_herd
F1,10,230.0,1,-0.0033671160563628483,36.881947633178214,0,dorsal,1.0,True
F1,10,230.0,1,-0.0033671160563628483,36.881947633178214,0,right_flank,0.0,True
F1,10,230.0,1,-0.0033671160563628483,36.881947633178214,1,left_flank,0.0,True
F1,10,230.0,1,-0.0033671160563628483,36.881947633178214,1,dorsal,1.0,True
F1,10,230.0,1,-0.0033671160563628483,36.881947633178214,1,right_flank,0.375,True
F1,10,230.0,2,-0.0033911201748479634,36.88196129089492,0,left_flank,0.0,True
F1,10,230.0,2,-0.0033911201748479634,36.88196129089492,0,dorsal,1.0,True
F1,10,230.0,2,-0.0033911201748479634,36.88196129089492,0,right_flank,1.0,True
F1,10,230.0,2,-0.0033911201748479634,36.88196129089492,1,left_flank,0.0,True
F1,10,230.0,2,-0.0033911201748479634,36.88196129089492,1,dorsal,1.0,True
F1,10,230.0,2,-0.0033911201748479634,36.88196129089492,1,right_flank,1.0,True
F1,10,230.0,3,-0.003337142760190171,36.881988772734694,0,left_flank,0.0,True
F1,10,230.0,3,-0.003337142760190171,36.881988772734694,0,dorsal,1.0,True
F1,10,230.0,3,-0.003337142760190171,36.881988772734694,0,right_flank,0.0,True
F1,10,230.0,3,-0.003337142760190171,36.881988772734694,1,left_flank,1.0,True
F1,10,230.0,3,-0.003337142760190171,36.881988772734694,1,dorsal,1.0,True
F1,10,230.0,3,-0.003337142760190171,36.881988772734694,1,right_flank,0.0,True
F1,11,238.2,0,-0.0033658580802724087,36.88193361977448,0,left_flank,0.5,True
F1,11,238.2,0,-0.0033658580802724087,36.88193361977448,0,dorsal,1.0,True
F1,11,238.2,0,-0.0033658580802724087,36.88193361977448,0,right_flank,0.0,True
F1,11,238.2,0,-0.0033658580802724087,36.88193361977448,1,left_flank,0.0,True
F1,11,238.2,0,-0.0033658580802724087,36.88193361977448,1,dorsal,1.0,True
F1,11,238.2,0,-0.0033658580802724087,36.88193361977448,1,right_flank,1.0,True
F1,11,238.2,1,-0.003370499944387759,36.88194555411081,0,left_flank,1.0,True
F1,11,238.2,1,-0.003370499944387759,36.88194555411081,0,dorsal,1.0,True
F1,11,238.2,1,-0.003370499944387759,36.88194555411081,0,right_flank,0.0,True
F1,11,238.2,1,-0.003370499944387759,36.88194555411081,1,left_flank,0.0,True
F1,11,238.2,1,-0.003370499944387759,36.88194555411081,1,dorsal,1.0,True
F1,11,238.2,1,-0.003370499944387759,36.88194555411081,1,right_flank,0.8125,True
F1,11,238.2,2,-0.0033898044513744844,36.88195795402664,0,left_flank,0.0,True
F1,11,238.2,2,-0.0033898044513744844,36.88195795402664,0,dorsal,1.0,True
F1,11,238.2,2,-0.0033898044513744844,36.88195795402664,0,right_flank,1.0,True
F1,11,238.2,2,-0.0033898044513744844,36.88195795402664,1,left_flank,0.0,True
F1,11,238.2,2,-0.0033898044513744844,36.88195795402664,1,dorsal,1.0,True
F1,11,238.2,2,-0.0033898044513744844,36.88195795402664,1,right_flank,0.0,True
F1,11,238.2,3,-0.003337008250019403,36.88198897192789,0,left_flank,1.0,True
F1,11,238.2,3,-0.003337008250019403,36.88198897192789,0,dorsal,1.0,True
F1,11,238.2,3,-0.003337008250019403,36.88198897192789,0,right_flank,0.0,True
F1,11,238.2,3,-0.003337008250019403,36.88198897192789,1,left_flank,0.0,True
F1,11,238.2,3,-0.003337008250019403,36.88198897192789,1,dorsal,1.0,True
F1,11,238.2,3,-0.003337008250019403,36.88198897192789,1,right_flank,1.0,True
F1,12,246.4,0,-0.003335547342535638,36.88198767098684,0,left_flank,1.0,True
