behaviour,config_idx,n_animals,n_drones,spread_std_x_m,spread_std_z_m,spread_std_m,forward_velocity_ms,orientation_entropy_std_deg
panic,12,20,4,,,10.0,2.0,45.0
panic,13,20,4,,,10.0,2.0,180.0
panic,14,20,4,,,10.0,2.0,360.0
panic,15,20,4,,,10.0,4.0,45.0
panic,16,20,4,,,10.0,4.0,180.0
panic,17,20,4,,,10.0,4.0,360.0
panic,18,20,6,,,10.0,1.0,45.0
panic,19,20,6,,,10.0,1.0,180.0
panic,20,20,6,,,10.0,1.0,360.0
panic,21,20,6,,,10.0,2.0,45.0
panic,22,20,6,,,10.0,2.0,180.0
panic,23,20,6,,,10.0,2.0,360.0
panic,24,20,6,,,10.0,4.0,45.0
panic,25,20,6,,,10.0,4.0,180.0
panic,26,20,6,,,10.0,4.0,360.0
panic,27,30,2,,,10.0,1.0,45.0
panic,28,30,2,,,10.0,1.0,180.0
panic,29,30,2,,,10.0,1.0,360.0
panic,30,30,2,,,10.0,2.0,45.0
panic,31,30,2,,,10.0,2.0,180.0
panic,32,30,2,,,10.0,2.0,360.0
panic,33,30,2,,,10.0,4.0,45.0
panic,34,30,2,,,10.0,4.0,180.0
panic,35,30,2,,,10.0,4.0,360.0
panic,36,30,4,,,10.0,1.0,45.0
panic,37,30,4,,,10.0,1.0,180.0
panic,38,30,4,,,10.0,1.0,360.0
panic,39,30,4,,,10.0,2.0,45.0
panic,40,30,4,,,10.0,2.0,180.0
panic,41,30,4,,,10.0,2.0,360.0
panic,42,30,4,,,10.0,4.0,45.0
panic,43,30,4,,,10.0,4.0,180.0
panic,44,30,4,,,10.0,4.0,360.0
panic,45,30,6,,,10.0,1.0,45.0
panic,46,30,6,,,10.0,1.0,180.0
panic,47,30,6,,,10.0,1.0,360.0
panic,48,30,6,,,10.0,2.0,45.0
panic,49,30,6,,,10.0,2.0,180.0
panic,50,30,6,,,10.0,2.0,360.0
panic,51,30,6,,,10.0,4.0,45.0
panic,52,30,6,,,10.0,4.0,180.0
panic,53,30,6,,,10.0,4.0,360.0
panic,54,40,2,,,10.0,1.0,45.0
panic,55,40,2,,,10.0,1.0,180.0
panic,56,40,2,,,10.0,1.0,360.0
panic,57,40,2,,,10.0,2.0,45.0
panic,58,40,2,,,10.0,2.0,180.0
panic,59,40,2,,,10.0,2.0,360.0
panic,60,40,2,,,10.0,4.0,45.0
panic,61,40,2,,,10.0,4.0,180.0
panic,62,40,2,,,10.0,4.0,360.0
panic,63,40,4,,,10.0,1.0,45.0
panic,64,40,4,,,10.0,1.0,180.0
panic,65,40,4,,,10.0,1.0,360.0
panic,66,40,4,,,10.0,2.0,45.0
panic,67,40,4,,,10.0,2.0,180.0
panic,68,40,4,,,10.0,2.0,360.0
panic,69,40,4,,,10.0,4.0,45.0
panic,70,40,4,,,10.0,4.0,180.0
panic,71,40,4,,,10.0,4.0,360.0
panic,72,40,6,,,10.0,1.0,45.0
panic,73,40,6,,,10.0,1.0,180.0
panic,74,40,6,,,10.0,1.0,360.0
panic,75,40,6,,,10.0,2.0,45.0
panic,76,40,6,,,10.0,2.0,180.0
panic,77,40,6,,,10.0,2.0,360.0
panic,78,40,6,,,10.0,4.0,45.0
panic,79,40,6,,,10.0,4.0,180.0
panic,80,40,6,,,10.0,4.0,360.0
panic,81,60,2,,,10.0,1.0,45.0
panic,82,60,2,,,10.0,1.0,180.0
panic,83,60,2,,,10.0,1.0,360.0
panic,84,60,2,,,10.0,2.0,45.0
panic,85,60,2,,,10.0,2.0,180.0
panic,86,60,2,,,10.0,2.0,360.0
panic,87,60,2,,,10.0,4.0,45.0
panic,88,60,2,,,10.0,4.0,180.0
panic,89,60,2,,,10.0,4.0,360.0
panic,90,60,4,,,10.0,1.0,45.0
panic,91,60,4,,,10.0,1.0,180.0
panic,92,60,4,,,10.0,1.0,360.0
panic,93,60,4,,,10.0,2.0,45.0
panic,94,60,4,,,10.0,2.0,180.0
panic,95,60,4,,,10.0,2.0,360.0
panic,96,60,4,,,10.0,4.0,45.0
panic,97,60,4,,,10.0,4.0,180.0
panic,98,60,4,,,10.0,4.0,360.0
panic,99,60,6,,,10.0,1.0,45.0
panic,100,60,6,,,10.0,1.0,180.0
panic,101,60,6,,,10.0,1.0,360.0
panic,102,60,6,,,10.0,2.0,45.0
panic,103,60,6,,,10.0,2.0,180.0
panic,104,60,6,,,10.0,2.0,360.0
panic,105,60,6,,,10.0,4.0,45.0
panic,106,60,6,,,10.0,4.0,180.0
panic,107,60,6,,,10.0,4.0,360.0
