run_id,behaviour,N_a,sigma,herd_idx,M,rep,min_sep,herd_seed,pso_seed,V1,V2,V3,minV,per_animal_min_mean,per_animal_min_p10,Omega,Delta,Lambda_dist,Lambda_idle,convergence_iter,poses,status,t_solve
grazing_N100_s10_h1_M5_r2_ms2.5,grazing,100,10.0,1,5,2,2.5,3143501092706740449,8462920777371294769,1.0,0.983125,0.990625,0.983125,0.97375,0.9375,0.3362935404699991,0.3362935404699991,1.0,1.0,100,"[[-32.17605972290039, 30.0, -66.2683334350586, 297.0369342707642, -21.426230591252377], [66.32862091064453, 45.0, -19.95030403137207, 191.93247462346588, -33.08040534286108], [-18.649843215942383, 60.0, 4.584604740142822, 358.9509728511477, -81.23081920010328], [-14.748764991760254, 75.0, 39.241214752197266, 55.100096584211535, -59.951632872188036], [-12.442109107971191, 90.0, 11.403453826904297, 54.42972670959498, -70.1237052785144]]",ok,52.47939467430115
grazing_N100_s10_h1_M5_r3_ms2.5,grazing,100,10.0,1,5,3,2.5,3143501092706740449,6887902216828541824,1.0,0.978625,0.986875,0.978625,0.9655,0.875,0.3052365643036481,0.3052365643036481,1.0,1.0,100,"[[-77.59288787841797, 30.0, 15.993389129638672, 11.664649728001294, -20.879110334016442], [-46.109352111816406, 45.0, -67.09844207763672, 255.6139827541372, -89.99], [46.730430603027344, 60.0, 2.5250084400177, 184.47668095348152, -48.74852591420727], [53.95235824584961, 75.0, 13.186359405517578, 163.14757327409635, -60.854571470564764], [-13.831708908081055, 90.0, -16.360652923583984, 342.78947798953453, -82.88043287578233]]",ok,52.695725202560425
grazing_N100_s10_h1_M5_r4_ms2.5,grazing,100,10.0,1,5,4,2.5,3143501092706740449,1483395752470962023,1.0,0.995625,0.999375,0.995625,0.995,1.0,0.2940210828066638,0.2940210828066638,1.0,1.0,100,"[[-31.350984573364258, 30.0, 73.08533477783203, 68.63280636953553, -21.462596567954805], [134.99887084960938, 45.0, -105.80326080322266, 226.09432784107088, -54.89008809831076], [-45.51301574707031, 60.0, -10.540528297424316, 0.0, -50.78570151464179], [3.862100839614868, 75.0, -27.815500259399414, 257.15716773753263, -65.0187905882969], [60.583892822265625, 90.0, -1.0067572593688965, 174.49670564837973, -55.91385905483644]]",ok,58.01734662055969
grazing_N100_s10_h1_M6_r0_ms2.5,grazing,100,10.0,1,6,0,2.5,3143501092706740449,562411625603845228,1.0,0.960625,0.98625,0.960625,0.946875,0.8125,0.3336483637339871,0.3336483637339871,1.0,1.0,100,"[[70.73136901855469, 30.0, -27.00082778930664, 199.0605422328308, -22.04169858639536], [-21.389911651611328, 45.0, 64.71100616455078, 73.16783073518171, -33.76987552367775], [-22.692691802978516, 60.0, 10.790261268615723, 17.968841967103053, -76.49261959961227], [-33.18730926513672, 75.0, -14.37463665008545, 350.2586669904132, -63.01246061346864], [0.4861873388290405, 90.0, -75.76219177246094, 314.864675153979, -45.43363861863188], [10.806790351867676, 105.0, 1.4142638444900513, 330.85746914241923, -84.39254347107179]]",ok,77.64950823783875
grazing_N100_s10_h1_M6_r1_ms2.5,grazing,100,10.0,1,6,1,2.5,3143501092706740449,7501714520906028287,1.0,0.87125,0.906875,0.87125,0.778125,0.0,0.3212082908937775,0.3212082908937775,1.0,1.0,99,"[[72.83575439453125, 30.0, -22.687700271606445, 194.77965080062154, -21.67743218077177], [-42.29792785644531, 45.0, 54.64878463745117, 50.627250100379925, -32.22994126384717], [6.393767356872559, 60.0, 12.596254348754883, 101.32077971515275, -68.56280574698691], [134.9993133544922, 75.0, 133.38922119140625, 122.22329949329075, -59.02779420158035], [0.2836053669452667, 90.0, 9.115630149841309, 286.5341375928793, -89.99], [-14.606515884399414, 105.0, -3.043292999267578, 59.35120125232226, -89.99]]",ok,73.42368721961975
grazing_N100_s10_h1_M6_r2_ms2.5,grazing,100,10.0,1,6,2,2.5,3143501092706740449,1678330469210672125,1.0,0.989375,0.988125,0.988125,0.9775,1.0,0.2942394959508135,0.2942414246236278,0.9999934452709478,1.0,100,"[[-134.9993133544922, 30.0, 131.69227600097656, 343.55588832269007, -23.404014668864207], [31.86701774597168, 45.0, -66.99005126953125, 244.68794648459706, -31.18905480207206], [6.591283798217773, 60.0, 24.60667610168457, 107.03469185428698, -58.39656414876134], [16.760120391845703, 75.0, 29.083412170410156, 135.72950205295768, -68.93545649244872], [0.8254456520080566, 90.0, -1.1292046308517456, 359.99980314837154, -81.06556714037784], [-55.19747543334961, 105.0, 3.722862958908081, 359.67681096893307, -61.48031896984128]]",ok,68.23856234550476
grazing_N100_s10_h1_M6_r3_ms2.5,grazing,100,10.0,1,6,3,2.5,3143501092706740449,6039279790380319377,1.0,0.9975,0.9875,0.9875,0.985,1.0,0.3082851322858724,0.3082851322858724,1.0,1.0,100,"[[47.42116165161133, 30.0, -72.89042663574219, 236.5803652986985, -19.715851248460684], [42.448184967041016, 45.0, -100.39969635009766, 235.50901869178827, 0.0], [27.170541763305664, 60.0, 46.72578811645508, 128.07429689592453, -50.607486907372035], [-45.16041946411133, 75.0, -7.1049723625183105, 360.0, -60.93220191203987], [14.282530784606934, 90.0, -2.222973585128784, 194.23306270913108, -89.99], [-59.178260803222656, 105.0, -134.96961975097656, 325.51251205653665, -86.71044876202228]]",ok,73.33447360992432
grazing_N100_s10_h1_M6_r4_ms2.5,grazing,100,10.0,1,6,4,2.5,3143501092706740449,5676201608292330135,1.0,0.993125,0.991875,0.991875,0.985,0.9375,0.3452564198743801,0.3452564198743801,1.0,1.0,100,"[[-46.05900573730469, 30.0, 66.1424789428711, 53.95839812449254, -20.587448453057554], [68.76752471923828, 45.0, -5.53079891204834, 184.33554578775966, -32.79500689660229], [36.59511184692383, 60.0, -2.7436838150024414, 190.3780753982196, -69.34812716676134], [-18.296232223510742, 75.0, -43.07041549682617, 293.9000659874003, -63.79648787952884], [-10.302218437194824, 90.0, 8.758056640625, 339.8683671458942, -87.33467912019566], [-113.18132781982422, 105.0, 33.17390823364258, 290.2527575203046, -79.77548230147525]]",ok,77.60234022140503
grazing_N100_s10_h1_M7_r0_ms2.5,grazing,100,10.0,1,7,0,2.5,3143501092706740449,6000713216649729129,1.0,0.9975,0.9975,0.9975,0.995,1.0,0.3049839850217824,0.3049839850217824,1.0,1.0,100,"[[-115.67033386230469, 30.0, 17.753070831298828, 360.0, -56.28143444189237], [-59.782203674316406, 45.0, -29.63672637939453, 332.2798360900389, -32.87711956931675], [22.586219787597656, 60.0, 39.27107238769531, 110.16855311353495, -52.86077936631881], [22.093915939331055, 75.0, -15.133634567260742, 224.23739911478162, -65.59928612043599], [-9.880842208862305, 90.0, -8.299617767333984, 151.3510315728492, -89.99], [-23.969383239746094, 105.0, 7.370511531829834, 268.0772256589343, -86.12710712532255], [69.82441711425781, 120.0, -19.58521270751953, 218.54910634848815, -58.12707972903965]]",ok,68.96318197250366
grazing_N100_s10_h1_M7_r1_ms2.5,grazing,100,10.0,1,7,1,2.5,3143501092706740449,6874584367819542107,1.0,0.989375,0.998125,0.989375,0.9875,1.0,0.3033189764019096,0.3033189764019096,1.0,1.0,100,"[[42.90680694580078, 30.0, -122.9968490600586, 307.944334819154, -1.8290510594184393], [6.109152317047119, 45.0, -67.74114990234375, 262.7666136451679, -32.41449913522977], [-48.18162155151367, 60.0, 8.629534721374512, 20.190926047347155, -49.53327556278309], [47.089115142822266, 75.0, 13.081856727600098, 159.24604289131503, -61.943352917023034], [-0.3767508566379547, 90.0, 1.3449158668518066, 216.62320210504032, -83.3044535249029], [-86.27911376953125, 105.0, -20.15886688232422, 0.0, -25.991643397801045], [14.629687309265137, 120.0, -100.12225341796875, 290.5097309450043, -89.99]]",ok,77.92549419403076
